,0
Rail Station,4
Kokoreç Restaurant,4
Post Office,4
Health and Medicine,4
Veterinarian,4
Eyecare Store,4
Deli,4
College Residence Hall,4
Sports Club,4
Hostel,4
Vegan and Vegetarian Restaurant,4
Meeting Room,4
Butcher,4
Auditorium,4
Theater,4
Organization,4
Tattoo Parlor,4
Computers and Electronics Retail,4
Furniture and Home Store,4
Playground,4
Car Dealership,4
Grocery Store,4
Sports and Recreation,4
Travel Agency,4
Cosmetics Store,4
Sporting Goods Retail,4
Parking,4
Food Truck,4
Automotive Repair Shop,4
Convention Center,3
Accounting and Bookkeeping Service,3
Shopping Plaza,3
Wine Bar,3
Garden,3
Food and Beverage Retail,3
Law School,3
Men's Store,3
Candy Store,3
Industrial Estate,3
Eastern European Restaurant,3
Hobby Store,3
Trade School,3
Halal Restaurant,3
Pedestrian Plaza,3
Electrical Equipment Supplier,3
Private School,3
Dive Bar,3
Chinese Restaurant,3
Cruise,3
Adult Education,3
Children's Clothing Store,3
Mobile Phone Store,3
Textiles Store,3
Bath House,3
Fraternity House,3
Middle School,3
Flea Market,3
Drugstore,3
Camera Store,3
Public Art,3
Import and Export Service,3
Swimming Pool,3
Basketball Court,3
Toy Store,3
Social Club,3
Hotel Bar,3
Airport Service,3
African Restaurant,2
Concert Hall,2
Sushi Restaurant,2
Science Museum,2
Lottery Retailer,2
Financial Service,2
Exhibit,2
Juice Bar,2
Beer Bar,2
Greek Restaurant,2
TV Station,2
Beach,2
College Arts Building,2
Bowling Alley,2
Tantuni Restaurant,2
Skating Rink,2
Driving School,2
Photography Studio,2
Fuel Station,2
Modern European Restaurant,2
Monastery,2
College Communications Building,2
Employment Agency,2
Health Food Store,2
Shoe Store,2
Courthouse,2
Gaming Cafe,2
French Restaurant,2
Pool Hall,2
Yemeni Restaurant,2
Sandwich Spot,2
Research Station,2
Automotive Service,2
ATM,2
Botanical Garden,2
Campaign Office,2
Leather Supplier,2
Currency Exchange,2
Event Service,2
Tailor,2
Technology Business,2
Barbershop,2
Port,2
Spa,2
Indian Restaurant,2
Pie Shop,2
Whisky Bar,2
Hiking Trail,2
Music School,2
Design Studio,2
Tapas Restaurant,2
Bosnian Restaurant,1
Used Bookstore,1
Gourmet Store,1
Chocolate Store,1
Storage Facility,1
Fondue Restaurant,1
Belgian Restaurant,1
Amphitheater,1
Sports Bar,1
Law Office,1
Amusement Park,1
Frozen Yogurt Shop,1
Weight Loss Center,1
Kuruyemişçi Shop,1
Theme Restaurant,1
College Science Building,1
Chemicals and Gasses Manufacturer,1
Corporate Amenity,1
Souvenir Store,1
Computer Repair Service,1
Tobacco Store,1
Street Food Gathering,1
Construction,1
Japanese Restaurant,1
Indie Movie Theater,1
Lebanese Restaurant,1
Assisted Living Service,1
New American Restaurant,1
Lighthouse,1
Travel Lounge,1
College Engineering Building,1
Baby Store,1
Lighting Store,1
Distillery,1
Brewery,1
Body Piercing Shop,1
Falafel Restaurant,1
Spiritual Center,1
IT Service,1
Border Crossing,1
Boxing Gym,1
Boarding House,1
Vintage and Thrift Store,1
Thai Restaurant,1
Mac and Cheese Joint,1
Industrial Equipment Supplier,1
Prison,1
City,1
College Theater,1
Home Service,1
Massage Clinic,1
College Gym,1
Cabin,1
Sake Bar,1
Pet Grooming Service,1
Primary and Secondary School,1
Street Fair,1
Turkish Coffeehouse,1
Surf Spot,1
Club House,1
Medical Lab,1
Karaoke Bar,1
Fountain,1
Real Estate Service,1
Herbs and Spices Store,1
Car Parts and Accessories,1
Pilates Studio,1
Forest,1
Bicycle Store,1
Check Cashing Service,1
Film Studio,1
Synagogue,1
Stationery Store,1
Recording Studio,1
Pastry Shop,1
Business and Strategy Consulting Office,1
Çöp Şiş Place,1
Outlet Store,1
Comedy Club,1
Pet Supplies Store,1
Print Store,1
Nursery School,1
Carpet and Flooring Contractor,1
College Quad,1
Dairy Store,1
Embassy or Consulate,1
Car Wash and Detail,1
Sculpture Garden,1
College History Building,1
Pop-Up Store,1
Daycare,1
Rock Club,1
Winery,1
Airport Terminal,1
Costume Store,1
Warehouse,1
Urgent Care Center,1
Temple,1
"Shipping, Freight, and Material Transportation Service",1
Adult Store,1
Luggage Store,1
Website Designer,1
Perfume Store,1
Cheese Store,1
Creperie,1
Strip Club,1
Australian Restaurant,1
Arepa Restaurant,1
Transportation Service,1
Language School,1
Hot Spring,1
Climbing Gym,1
Farm,1
Pet Service,1
Martial Arts Dojo,1
